algorithm,instance,time
insertion,1,0.00000000
first,1,0.00000000
random,1,0.01000000
mid,1,0.00000000
median 3,1,0.01000000
median 3 random,1,0.00000000
median 9,1,0.01000000
median 9 random,1,0.01000000
dual pivot,1,0.00000000
insertion,2,0.00000000
first,2,0.96000000
random,2,0.01000000
mid,2,0.00000000
median 3,2,0.00000000
median 3 random,2,0.01000000
median 9,2,0.00000000
median 9 random,2,0.01000000
dual pivot,2,0.00000000
insertion,3,2.40000000
first,3,0.95000000
random,3,0.01000000
mid,3,0.00000000
median 3,3,0.00000000
median 3 random,3,0.01000000
median 9,3,0.00000000
median 9 random,3,0.00000000
dual pivot,3,0.01000000
insertion,4,1.05000000
first,4,0.01000000
random,4,0.01000000
mid,4,0.02000000
median 3,4,0.01000000
median 3 random,4,0.01000000
median 9,4,0.01000000
median 9 random,4,0.02000000
dual pivot,4,0.01000000
insertion,5,1.01000000
first,5,0.01000000
random,5,0.01000000
mid,5,0.02000000
median 3,5,0.01000000
median 3 random,5,0.01000000
median 9,5,0.01000000
median 9 random,5,0.02000000
dual pivot,5,0.01000000
insertion,6,1.03000000
first,6,0.01000000
random,6,0.02000000
mid,6,0.01000000
median 3,6,0.01000000
median 3 random,6,0.01000000
median 9,6,0.02000000
median 9 random,6,0.01000000
dual pivot,6,0.01000000
insertion,7,1.00000000
first,7,0.01000000
random,7,0.01000000
mid,7,0.01000000
median 3,7,0.01000000
median 3 random,7,0.02000000
median 9,7,0.01000000
median 9 random,7,0.01000000
dual pivot,7,0.02000000
insertion,8,1.04000000
first,8,0.01000000
random,8,0.01000000
mid,8,0.01000000
median 3,8,0.01000000
median 3 random,8,0.02000000
median 9,8,0.01000000
median 9 random,8,0.01000000
dual pivot,8,0.01000000
insertion,9,1.02000000
first,9,0.01000000
random,9,0.01000000
mid,9,0.01000000
median 3,9,0.01000000
median 3 random,9,0.02000000
median 9,9,0.01000000
median 9 random,9,0.01000000
dual pivot,9,0.01000000
insertion,10,1.02000000
first,10,0.01000000
random,10,0.01000000
mid,10,0.02000000
median 3,10,0.01000000
median 3 random,10,0.01000000
median 9,10,0.01000000
median 9 random,10,0.02000000
dual pivot,10,0.01000000
insertion,11,1.01000000
